Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,8527,50,135583.35,15.90
2025-01-08,2026-05-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,unknown,USD,69,69,1069.59,15.50
2025-03-08,2026-05-29,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,unknown,USD,61,61,1275.41,20.91
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,16744,93,367240.82,21.93
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3333,5,73517.26,22.06
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,4059,8,69134.24,17.03
2025-10-10,2026-05-26,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,unknown,USD,18,18,444.20,24.68
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,15072,54,346472.90,22.99
2025-05-19,2026-05-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,unknown,USD,12,12,177.67,14.81
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2003,3,35842.82,17.89
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1753,5,40096.81,22.87
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,7069,24,121660.11,17.21
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,3256,19,56087.13,17.23
2025-01-03,2026-05-30,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,unknown,USD,25,25,445.23,17.81
2025-02-17,2026-05-16,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,unknown,USD,23,23,503.41,21.89
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,7690,45,170416.00,22.16
2025-01-01,2026-06-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,1437,5,24470.29,17.03
2025-01-01,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,1340,1,28973.94,21.62
